"","state","zip","50_1","50_2","50_3","50_4","50_5","50_6","50_7","50_8","50_9","51_1","51_2","51_3","52_1","52_2","52_3","53_1","53_2","53_3","54_1","54_2","54_3","55_1","55_2","55_3","56_1","56_2","56_3","57_1","57_2","57_3","58_1","58_2","58_3","58_4","58_5","58_6","58_7","58_8","58_9","58_10","58_11","58_12","58_13","59_1","59_2","59_3","59_4","59_5","59_6","59_7","59_8","59_9","59_10","59_11","59_12","59_13","59_14","59_15","59_16","59_17","59_18","59_19","59_20","59_21","60_1","60_2","60_3","60_4","60_5","60_6","60_7","60_8","60_9","61_1","61_2","61_3","61_4","61_5","61_6","61_7","62_1","62_2","62_3","62_4","62_5","62_6","62_7","62_8","62_9","62_10","63_1","63_2","63_3","63_4","63_5","63_6","64_1","64_2","64_3","64_4","64_5","64_6","64_7","64_8","64_9","64_10","64_11","65_1","65_2","65_3","65_4","65_5","65_6","66_1","66_2","66_3","66_4","66_5","66_6","66_7","66_8","67_1","67_2","67_3","67_4","67_5","67_6","67_7","67_8","67_9","67_10","67_11","67_12","68_1","68_2","68_3","68_4","68_5","68_6","68_7","69_1","69_2","69_3","69_4","69_5","69_6","70_1","70_2","70_3","70_4","70_5","70_6","70_7","71_1","71_2","71_3","71_4","71_5","72_1","72_2","72_3","72_4","72_5","72_6","73_1","73_2","73_3","73_4","73_5","73_6","73_7","73_8","73_9","73_10","73_11","74_1","74_2","74_3","74_4","74_5","74_6","74_7","74_8","74_9","74_10","74_11","74_12","74_13","74_14","75_1","75_2","75_3","75_4","75_5","75_6","75_7","75_8","76_1","76_2","76_3","76_4","76_5","76_6","76_7","76_8","76_9","77_1","77_2","77_3","77_4","78_1","78_2","78_3","78_4","79_1","79_2","79_3","79_4","79_5","79_6","79_7","79_8","79_9","79_10","80_1","80_2","80_3","80_4","80_5","80_6","80_7","80_8","80_9","81_1","81_2","81_3","81_4","81_5","81_6","81_7","81_8","82_1","82_2","82_3","82_4","82_5","82_6","82_7","82_8","82_9","82_10","82_11","82_12","82_13","82_14","82_15","82_16","82_17","83_1","83_2","83_3","83_4","83_5","83_6","83_7","84_1","84_2","84_3","84_4","84_5","84_6","84_7","85_1","85_2","85_3","85_4","85_5","85_6","86_1","86_2","86_3","87_1","87_2","87_3","88_1","88_2","88_3","88_4","88_5","88_6","88_7","89_1","89_2","89_3","89_4","89_5","90_1","90_2","90_3","90_4","91_1","91_2","91_3","91_4","91_5","92_1","92_2","92_3","93_1","93_2","93_3","93_4","93_5","94_1","94_2","94_3","94_4","94_5","94_6","95_1","95_2","95_3","95_4","95_5","95_6","96_1","96_2","96_3","96_4","96_5","96_6","96_7","97_1","97_2","97_3","97_4","97_5","97_6","98_1","98_2","98_3","98_4","98_5","99_1","99_2","99_3","99_4","99_5","99_6","99_7","99_8","100_1","100_2","100_3","100_4","100_5","101_1","101_2","101_3","101_4","101_5","102_1","102_2","102_3","102_4","102_5","102_6","102_7","102_8","102_9","102_10","102_11","103_1","103_2","103_3","103_4","103_5","104_1","104_2","104_3","104_4","104_5","104_6","105_1","105_2","105_3","105_4","105_5","105_6","105_7","105_8","105_9","105_10","106_1","106_2","106_3","106_4","106_5","106_6","106_7","106_8","107_1","107_2","107_3","107_4","107_5","107_6","107_7","107_8","107_9","107_10","109_1","109_2","109_3","109_4","110_1","110_2","110_3","110_4","110_5","110_6","110_7","110_8","110_9","111_1","111_2","111_3","111_4","111_5","111_6","111_7","111_8","115_1","115_2","115_3","115_4","115_5","117_1","117_2","117_3","117_4","117_5","117_6","118_1","118_2","118_3","118_4","118_5","118_6","118_7","118_8","119_1","119_2","119_3","119_4","120_1","120_2","120_3","120_4","120_5","120_6","121_1","121_2","121_3","121_4","121_5","121_6","121_7","lat","long","city","state.region"
"250","IN","478",3,0,0,19,0,0,10,1,7,9,30,1,24,9,7,8,32,0,8,31,1,7,29,4,24,16,0,10,27,3,0,19,17,2,0,0,0,0,0,0,0,0,2,1,5,6,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,18,4,4,1,2,1,2,0,0,22,8,8,1,0,12,0,7,12,2,33,0,0,0,0,3,0,1,1,39,1,0,0,0,0,36,0,0,0,1,0,0,0,0,1,2,21,4,15,0,0,0,11,5,0,0,23,0,0,1,39,0,0,0,0,0,0,1,0,0,0,0,1,3,22,0,1,1,12,2,3,24,6,0,5,0,13,8,1,0,6,12,0,15,16,0,9,29,0,0,0,7,4,9,1,2,0,0,26,1,0,0,1,0,10,1,1,14,3,1,0,0,0,1,3,4,1,1,28,0,9,0,0,0,0,3,10,0,0,22,0,0,4,0,4,36,0,2,2,10,19,10,1,27,2,0,0,2,1,1,0,4,3,11,0,0,0,1,0,1,26,1,36,0,3,1,0,0,0,0,0,17,0,2,0,3,1,2,0,0,2,2,0,5,2,1,3,2,1,0,0,20,1,16,1,13,4,14,0,7,1,4,18,0,2,7,9,12,19,9,21,14,5,9,0,3,11,3,2,12,29,3,6,2,0,24,10,5,1,7,21,10,0,2,4,7,29,0,38,2,0,0,7,13,7,13,0,0,17,0,0,0,4,19,7,1,3,16,9,2,2,20,7,0,1,10,2,23,7,10,0,0,11,5,16,1,0,5,2,0,13,0,8,15,4,1,31,5,0,3,20,2,2,0,6,0,0,0,1,7,2,2,0,13,25,0,33,3,0,1,0,3,13,12,11,0,0,0,0,0,0,4,25,1,8,1,0,1,3,1,1,5,18,3,1,1,0,0,8,3,29,11,0,0,0,0,2,0,1,2,1,32,2,4,31,2,2,0,0,0,1,33,3,0,4,0,24,0,2,6,5,3,2,0,0,0,0,9,22,7,16,7,15,2,10,26,0,0,2,2,19,6,6,2,2,4,1,39.393237,-87.3977,"Terre Haute","North Central"
"251","IN","479",6,0,0,40,0,0,12,1,6,27,38,0,28,20,17,3,62,0,13,48,4,13,45,7,45,15,5,15,43,7,1,18,40,2,0,0,0,1,0,0,0,0,3,3,3,5,0,2,1,0,0,0,0,0,0,1,0,0,1,0,1,3,37,8,3,0,1,0,8,0,0,51,2,4,1,1,23,1,12,23,10,54,0,0,0,0,0,0,0,1,65,0,0,0,0,0,60,1,0,1,1,0,0,0,0,2,0,42,5,18,0,0,0,26,4,0,0,26,0,7,2,63,0,0,0,0,0,0,0,0,0,0,2,4,2,45,2,2,1,9,3,1,43,10,0,8,0,25,8,2,0,17,13,0,37,15,0,13,50,0,0,0,9,6,19,1,4,0,0,39,0,0,0,1,1,13,2,7,23,2,0,0,0,0,0,3,5,7,3,52,0,9,0,0,2,0,2,17,0,1,41,0,0,4,1,1,61,1,0,3,18,26,20,1,46,4,0,0,0,1,2,0,7,5,12,0,2,0,0,0,0,50,1,62,0,3,0,0,0,0,0,0,28,2,0,1,0,1,11,0,0,1,2,0,5,4,5,5,2,0,3,1,39,0,20,2,22,5,19,0,16,1,3,19,0,12,20,11,12,24,29,43,17,5,21,0,3,20,1,0,20,39,5,19,1,1,29,22,9,5,18,37,10,0,0,5,7,53,1,63,1,0,0,11,27,10,17,0,0,26,0,1,0,10,28,9,4,9,29,11,1,2,33,11,0,2,16,3,37,15,10,3,0,18,11,23,1,0,8,3,1,11,1,12,37,4,1,47,8,0,9,27,0,9,1,12,1,2,0,3,10,0,0,0,23,39,3,56,2,0,5,0,2,20,30,12,0,3,0,0,0,0,0,54,1,6,1,1,0,1,1,1,9,28,0,1,0,0,1,21,4,44,19,0,2,0,0,1,0,0,3,2,55,4,6,50,7,0,1,0,0,1,46,6,1,10,2,47,0,3,6,8,1,1,0,0,2,0,20,35,7,20,13,29,3,13,46,0,0,3,3,19,18,12,5,2,8,1,40.461012,-86.93664,"West Lafayette","North Central"
"252","KS","660",49,0,0,141,0,0,51,6,30,61,208,8,120,95,62,26,249,2,33,226,18,29,231,17,179,87,11,65,186,26,1,47,216,3,0,0,0,0,0,0,0,1,9,16,18,38,2,5,4,0,0,0,0,0,0,0,1,7,7,0,2,14,142,21,14,23,1,11,25,0,5,169,29,12,2,17,140,1,43,62,21,246,0,0,0,0,3,0,5,2,275,1,0,0,0,1,248,0,16,1,3,0,1,1,0,4,3,134,15,127,0,0,1,75,20,0,0,162,0,7,13,252,1,0,0,2,0,1,1,0,0,0,20,10,5,174,6,1,6,75,20,6,160,37,8,46,5,83,47,12,1,73,56,3,104,94,1,75,222,0,1,1,44,9,44,10,15,0,0,198,2,0,0,1,7,11,5,12,216,6,0,0,2,0,0,7,7,5,6,196,0,63,0,0,2,0,16,57,1,4,178,0,3,15,12,7,255,2,3,17,134,48,92,3,204,16,0,2,4,0,15,0,25,11,49,0,8,0,0,1,4,205,10,256,3,15,2,0,1,0,0,0,118,13,8,16,4,3,24,1,0,15,16,0,17,11,12,19,9,1,9,4,114,3,137,9,157,15,75,1,18,2,14,104,0,42,68,49,37,114,126,202,61,14,70,4,6,86,10,6,95,160,16,88,10,3,139,92,26,20,75,138,57,5,2,19,31,227,3,270,1,1,2,83,45,61,87,0,1,110,1,1,2,7,156,48,23,28,73,92,2,11,198,21,1,2,53,2,162,44,49,12,10,157,27,35,4,0,32,6,16,51,0,37,167,22,5,210,41,0,21,148,0,19,0,32,3,8,1,11,48,7,5,0,106,161,5,245,6,4,10,2,10,76,144,34,0,12,0,0,0,0,11,242,2,24,2,1,0,4,2,7,37,156,4,1,2,5,3,56,6,174,97,0,6,0,3,9,0,1,13,6,232,13,21,225,19,4,4,0,2,2,201,24,9,41,2,204,2,8,24,37,2,9,0,1,3,0,92,143,29,101,50,119,7,68,192,1,0,11,5,97,56,45,15,11,43,10,38.860511,-94.77581,"Lawrence","North Central"
"253","KS","661",19,0,0,50,0,0,16,5,16,16,86,4,54,32,20,13,93,0,15,86,5,16,79,11,77,25,4,36,62,8,1,19,81,1,1,0,0,0,0,0,0,0,3,7,6,9,0,4,2,0,0,0,1,0,0,0,0,1,5,1,0,5,56,9,1,3,2,2,13,0,3,71,11,4,0,5,55,0,20,22,15,82,0,0,0,0,3,0,4,2,104,0,0,0,0,2,94,0,7,0,0,0,0,0,0,1,4,69,4,33,0,0,0,34,7,0,0,57,0,3,5,97,2,0,0,0,0,0,0,0,0,0,7,7,4,73,3,0,0,19,4,1,67,12,6,16,0,35,15,5,0,40,11,0,50,27,0,29,81,0,0,0,22,3,16,6,2,0,0,75,2,0,0,2,3,6,0,2,91,0,0,0,0,0,0,1,2,3,1,72,0,26,0,0,1,0,7,21,0,4,61,0,0,9,5,6,98,0,0,8,60,19,27,0,87,5,0,1,0,0,2,1,6,4,15,0,7,0,0,0,1,74,9,100,0,4,1,0,0,0,1,0,38,3,7,1,0,3,19,0,0,3,5,0,6,3,8,10,2,1,5,2,49,2,45,4,38,13,24,1,23,3,5,40,0,11,31,19,9,53,44,84,18,4,29,5,4,34,2,4,28,69,6,28,3,0,50,46,4,6,46,41,17,2,0,7,20,79,2,103,0,0,1,30,35,20,21,0,0,53,0,0,0,5,48,14,11,9,39,30,0,3,74,4,0,5,18,5,68,20,12,4,2,66,9,10,1,0,11,7,2,38,2,20,35,11,4,81,9,2,10,38,0,13,0,15,2,4,0,5,27,2,2,0,38,63,3,95,1,2,5,0,3,27,59,10,0,3,0,0,0,0,7,95,2,5,0,2,0,2,0,4,18,50,1,0,1,3,1,25,3,58,45,0,3,0,2,4,0,0,6,1,86,7,5,84,6,2,7,0,2,0,68,8,1,26,3,81,0,7,7,11,0,0,1,0,3,0,29,61,12,33,24,44,5,28,69,0,0,8,1,36,16,13,5,3,27,6,39.066732,-94.68872,"Kansas City","North Central"
"254","KS","662",79,2,0,253,0,1,80,14,43,113,345,14,164,202,106,50,418,4,52,407,13,49,398,25,252,201,19,109,309,54,7,49,400,5,0,0,0,2,0,0,0,0,9,24,25,55,5,15,5,1,0,1,0,0,5,6,2,2,12,1,0,20,254,39,14,26,3,8,42,1,4,312,62,38,3,30,258,1,43,99,38,399,0,0,3,0,8,0,17,7,464,4,2,0,2,0,414,3,33,3,3,1,2,3,0,3,7,224,33,211,2,2,0,153,51,1,1,231,1,15,19,435,5,2,0,3,0,1,0,1,0,0,25,28,11,294,20,3,11,105,30,9,275,72,12,74,2,132,90,35,0,109,104,6,180,159,2,125,332,2,5,0,100,33,72,21,15,0,1,333,11,0,0,8,11,22,10,15,377,3,1,0,0,1,0,11,10,12,10,311,1,122,2,4,6,1,25,90,2,11,281,2,1,51,27,7,390,9,9,64,235,64,167,6,381,22,2,2,8,1,12,0,34,10,77,0,9,1,1,7,4,357,16,441,0,22,4,1,0,0,4,2,200,19,10,19,4,4,42,3,3,32,24,0,34,18,28,30,7,2,5,4,247,1,206,18,153,66,151,1,76,7,42,172,3,77,93,85,55,186,231,300,137,35,133,6,10,142,15,12,154,254,32,161,25,0,251,128,63,30,116,256,90,10,0,58,36,378,8,461,1,0,2,147,112,78,135,0,0,221,3,1,7,18,222,39,32,39,140,200,3,19,302,42,3,9,110,6,262,100,93,7,10,263,52,52,4,0,64,17,20,104,4,46,282,36,23,335,78,1,35,241,3,39,5,53,5,9,0,11,97,9,11,1,226,219,15,421,9,5,18,2,17,139,211,83,1,22,1,0,0,0,15,420,4,35,1,5,0,5,2,14,70,217,7,2,7,10,3,123,19,290,168,0,14,2,3,13,2,2,19,11,396,24,55,325,57,5,10,0,11,9,323,55,7,83,4,368,5,19,30,45,5,15,6,3,8,0,122,277,41,190,69,201,12,115,317,2,1,27,10,127,108,85,21,18,90,23,38.899634,-94.70758,"Shawnee Mission","North Central"
"255","KS","664",1,0,0,9,0,0,4,1,3,3,15,0,11,3,4,2,16,0,1,17,0,1,17,0,13,4,1,8,8,2,0,4,13,0,0,0,0,0,0,0,0,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,5,0,0,1,0,0,9,2,0,0,0,13,0,3,2,1,17,0,0,0,0,0,0,0,0,18,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,1,13,0,5,0,0,0,3,1,0,0,14,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,1,13,0,0,1,3,0,2,12,1,0,3,0,6,1,0,0,6,5,0,8,5,0,5,12,0,0,0,5,1,4,0,0,0,0,14,0,0,0,0,0,1,1,0,15,0,0,0,0,0,1,0,0,0,0,15,0,2,0,0,0,0,1,3,0,0,14,0,0,1,0,0,15,0,0,3,8,2,8,0,12,2,0,0,0,0,2,0,1,1,4,0,0,0,0,0,0,13,1,18,0,0,0,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,1,0,1,1,1,3,1,0,0,0,5,0,12,0,10,2,3,0,2,1,1,6,0,6,0,5,4,5,9,14,3,1,5,0,1,6,0,1,5,13,1,3,1,0,9,6,1,2,2,13,3,0,0,1,2,15,0,17,1,0,0,8,4,2,3,1,0,9,0,0,0,0,9,3,5,2,5,2,0,1,13,3,0,0,2,0,12,2,3,1,0,13,0,4,1,0,0,0,0,3,0,3,12,0,0,14,4,0,0,9,0,2,0,1,0,0,1,1,4,0,0,0,2,16,0,18,0,0,0,0,0,3,13,1,0,0,0,0,0,0,1,16,0,1,1,0,0,0,0,0,3,13,0,0,1,0,0,1,0,11,6,0,1,0,0,2,0,0,0,0,16,0,2,9,4,1,0,0,0,2,13,2,2,1,0,11,0,2,3,1,1,0,0,0,0,0,8,7,3,10,1,7,0,5,12,0,0,1,0,9,3,4,0,0,2,0,39.857155,-95.54497,"Hiawatha","North Central"
"256","KS","665",13,0,0,12,0,0,9,0,7,5,36,0,16,14,11,4,35,2,4,36,1,4,35,2,23,15,3,8,30,3,0,9,31,1,0,0,0,0,0,0,0,0,0,4,5,5,0,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,17,3,1,8,0,0,2,0,1,23,6,3,0,5,19,1,2,11,3,37,0,0,0,0,0,0,0,1,40,0,0,0,0,1,36,0,2,0,1,0,0,0,0,0,2,21,4,16,0,0,0,8,6,0,0,25,0,0,2,38,0,0,0,0,0,0,1,0,0,0,2,2,0,18,1,0,2,18,4,1,20,5,2,9,0,8,8,3,0,9,13,0,16,11,0,14,32,0,1,0,7,1,4,2,3,0,0,31,1,0,0,0,0,3,1,1,32,1,0,0,0,0,0,0,0,2,1,33,0,7,0,0,0,0,1,11,0,0,26,0,0,2,1,1,38,0,0,3,15,10,16,0,31,1,0,3,0,0,1,0,5,0,9,1,2,0,0,0,0,27,2,39,0,2,0,0,0,0,0,0,15,0,1,1,1,0,5,1,0,1,2,0,4,5,0,5,0,1,5,0,11,0,24,1,25,1,10,0,2,2,3,15,0,13,8,2,6,19,16,32,9,0,14,2,2,12,1,1,9,21,4,16,0,0,17,17,6,1,10,26,5,0,0,1,5,35,0,39,1,0,1,14,8,11,8,0,0,17,0,0,1,1,22,7,5,12,12,4,0,1,21,3,0,3,13,1,31,7,3,0,0,21,11,4,0,1,2,2,0,6,1,8,25,1,1,32,8,0,0,22,1,8,0,6,0,2,0,1,1,0,1,1,15,23,1,37,0,1,1,0,2,9,24,5,0,2,0,0,0,0,1,34,2,3,1,0,0,1,0,2,8,19,0,0,0,1,0,11,0,27,12,0,2,0,0,2,0,0,4,0,33,2,3,32,3,1,2,0,0,0,36,2,0,2,1,24,0,3,6,8,0,1,0,0,1,0,21,16,2,21,7,10,3,12,29,0,0,0,0,17,7,12,1,1,3,0,39.184986,-96.56932,"Manhattan","North Central"
"257","KS","666",10,0,0,19,0,0,5,0,7,10,29,2,15,18,8,3,36,2,6,35,0,4,36,1,27,12,2,12,25,4,0,5,34,1,0,0,0,0,0,0,0,0,1,4,1,8,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,21,3,2,8,1,0,1,0,0,24,5,3,0,2,19,1,5,11,7,33,0,0,0,0,1,0,0,0,41,0,0,0,0,0,33,0,4,1,2,0,0,0,0,0,1,19,4,18,0,0,0,8,5,0,0,27,0,0,1,37,0,0,0,0,0,0,0,0,0,0,4,3,1,24,2,0,1,10,4,1,22,6,1,7,1,10,9,3,2,11,5,0,14,18,0,9,28,0,0,0,11,2,5,0,1,0,0,30,0,0,0,0,5,6,1,1,29,1,0,0,0,0,0,1,0,1,1,29,0,10,0,0,0,0,2,14,0,1,20,0,0,3,1,2,36,0,0,5,23,5,13,0,28,3,0,1,0,0,0,0,7,2,5,0,1,0,0,1,0,33,1,37,0,3,0,0,0,1,0,0,23,4,0,0,0,0,5,0,0,0,3,0,2,1,0,3,1,0,1,0,18,0,21,5,24,1,6,0,4,1,8,16,0,2,9,6,4,22,15,26,13,2,18,1,2,3,1,1,15,25,4,11,0,1,20,14,6,1,9,28,4,0,0,1,4,36,0,40,1,0,0,16,5,8,12,0,0,18,0,1,0,2,20,6,7,6,10,10,2,0,20,6,0,1,13,1,30,4,5,1,1,24,8,8,0,0,1,0,0,5,0,4,30,2,1,33,5,0,2,22,0,5,0,2,0,0,0,3,8,1,0,0,26,15,0,37,0,0,1,1,2,13,25,2,0,1,0,0,0,0,0,34,1,4,0,1,0,1,0,1,9,21,1,0,2,1,1,4,1,20,21,0,0,0,0,1,0,0,1,0,36,3,1,36,3,0,1,0,0,0,41,0,0,0,0,23,1,1,10,5,1,1,0,0,2,1,16,16,5,17,10,14,0,15,22,0,0,2,2,14,7,10,3,1,4,2,39.04045,-95.71698,"Topeka","North Central"
"258","KS","667",4,0,0,20,0,0,7,1,4,8,26,2,15,16,5,8,28,0,5,29,2,4,28,4,20,12,4,10,23,3,0,9,23,3,0,0,0,0,0,0,0,0,1,2,3,7,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,19,1,0,4,0,0,6,0,0,21,5,2,0,6,10,0,8,10,4,30,0,0,1,0,0,0,0,1,36,0,0,0,0,0,34,0,1,0,0,0,0,0,0,0,1,19,3,14,0,0,0,4,2,0,0,29,0,1,0,34,0,0,0,0,0,0,0,0,0,0,2,3,2,21,0,0,0,10,5,1,18,7,0,5,0,10,5,2,0,11,8,0,14,12,1,9,27,0,0,0,7,2,6,1,3,0,0,24,0,0,0,1,1,2,0,0,30,2,0,0,0,0,0,0,0,2,0,25,0,8,0,0,1,0,2,6,0,1,22,0,0,2,1,4,28,0,0,8,20,2,14,0,25,3,0,0,0,0,4,0,4,0,4,0,1,0,0,0,0,30,1,35,0,1,0,0,0,0,0,0,13,0,0,2,0,0,2,0,0,5,1,0,1,4,1,7,0,0,3,1,7,0,25,0,13,2,12,0,9,0,2,13,0,3,12,6,4,18,14,27,6,3,9,0,2,8,1,1,15,24,2,10,0,0,20,14,2,0,13,17,6,0,0,2,6,28,0,35,1,0,0,8,8,5,15,0,0,13,1,0,0,1,21,4,3,4,15,2,2,6,20,4,0,1,10,1,20,8,7,0,1,13,8,4,2,0,6,1,2,1,0,10,22,3,0,24,7,0,5,22,0,3,0,3,0,2,0,0,6,0,0,0,9,26,1,35,0,0,1,0,0,7,26,2,0,1,0,0,0,0,0,30,0,3,2,0,0,1,0,0,4,17,0,0,2,0,0,13,0,17,18,0,1,0,0,2,0,0,0,0,33,1,1,32,2,1,0,0,0,0,28,0,0,8,0,20,0,2,6,8,0,1,0,0,1,1,19,7,7,13,3,18,2,16,18,0,0,1,1,13,10,9,1,0,3,0,37.666078,-95.45681,"Chanute","North Central"
"259","KS","668",3,0,0,11,0,0,6,0,3,3,20,0,14,4,5,0,23,0,4,17,2,6,16,1,13,9,1,1,20,2,0,4,19,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,14,2,0,3,0,0,1,0,0,18,1,0,0,5,5,0,3,10,3,20,0,0,0,0,0,0,0,0,23,0,0,0,0,0,19,1,1,1,0,0,0,0,0,0,1,13,1,9,0,0,0,5,0,0,0,17,0,0,1,17,0,0,0,0,0,0,0,0,0,0,6,1,0,17,0,0,0,5,2,0,18,1,0,2,0,11,1,2,0,7,2,0,16,4,0,3,17,0,1,0,4,1,3,0,0,0,0,20,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,2,1,19,0,3,0,0,0,0,1,3,1,0,16,0,0,2,0,1,19,0,0,4,12,4,7,0,18,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2,21,0,20,0,1,1,0,0,0,1,0,13,1,0,2,0,1,1,0,0,0,0,0,0,2,1,2,1,0,1,0,8,0,13,1,11,1,4,0,6,0,2,9,0,1,5,6,1,12,10,19,3,1,9,0,2,4,0,1,7,14,1,8,0,0,8,9,4,2,11,9,3,0,0,0,4,19,0,23,0,0,0,8,2,3,10,0,0,9,0,0,0,0,14,5,5,4,5,3,0,1,17,1,0,1,4,0,14,5,2,1,1,12,3,6,0,0,2,0,0,3,0,4,15,1,0,17,4,0,2,14,0,0,0,2,0,0,0,0,5,2,0,0,10,13,0,23,0,0,0,0,0,2,17,2,0,2,0,0,0,0,0,19,0,3,0,0,0,1,0,2,2,10,0,0,0,0,0,7,2,10,12,0,1,0,0,0,0,0,1,0,21,1,0,19,1,0,3,0,0,0,18,0,0,5,0,17,0,1,1,4,0,0,0,0,0,0,13,9,1,7,6,10,0,6,14,0,0,2,1,7,4,3,2,0,6,1,38.410549,-96.19736,"Emporia","North Central"
"260","KS","669",1,0,0,7,0,0,1,0,1,3,6,1,3,4,3,1,9,0,3,6,1,2,7,1,7,2,1,1,7,2,0,2,8,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,7,0,0,0,1,4,0,1,4,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,1,6,1,3,0,0,0,2,0,0,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,1,8,0,0,0,1,0,0,7,1,0,2,0,4,3,0,0,1,2,1,5,2,0,2,9,0,0,0,1,0,1,0,0,0,0,8,0,0,0,1,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,1,0,0,4,0,0,4,0,0,0,0,2,9,0,0,1,4,1,5,0,5,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,7,1,9,0,0,1,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,7,1,5,0,2,0,2,0,1,3,0,1,3,2,1,3,6,9,1,0,2,2,0,2,1,0,3,5,3,2,0,0,5,5,0,0,2,6,2,0,0,0,0,10,0,10,0,0,0,5,2,1,2,0,0,6,0,0,0,0,4,4,0,2,1,2,1,0,4,2,0,1,3,0,9,0,1,0,0,7,1,1,1,0,0,0,0,1,0,1,6,2,0,8,1,0,1,6,0,2,0,1,0,0,0,0,1,0,0,0,5,5,0,10,0,0,0,0,0,1,7,2,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,1,0,7,0,0,1,0,0,1,0,2,8,0,0,0,0,0,0,0,0,1,9,0,0,10,0,0,0,0,0,0,9,1,0,0,0,4,0,0,3,3,0,1,0,0,0,0,5,3,1,4,1,5,0,5,5,0,0,0,0,5,1,3,0,0,1,0,39.568803,-97.64627,"Concordia","North Central"
"261","KS","670",7,0,0,17,0,0,5,1,5,9,24,2,16,7,12,3,31,1,4,29,2,6,29,0,21,11,3,10,22,3,0,2,31,2,0,0,0,0,0,0,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18,6,0,4,0,0,4,1,1,24,1,3,1,0,16,0,6,9,5,30,0,0,0,0,0,0,0,0,34,0,0,0,1,0,32,0,1,0,0,0,0,0,0,0,2,7,4,24,0,0,0,12,2,0,0,18,0,3,0,31,0,0,0,0,0,0,1,0,0,0,3,1,0,22,0,0,2,10,1,1,22,4,0,7,0,9,1,4,0,12,9,0,10,11,0,14,25,0,1,0,8,1,5,1,2,0,0,26,0,0,0,0,1,0,2,0,28,0,0,0,0,0,0,0,2,1,2,24,0,6,0,0,2,1,2,10,0,0,21,0,0,2,1,1,31,0,0,4,15,4,16,0,26,3,0,0,0,0,1,0,5,0,5,0,2,0,0,0,0,26,2,30,0,4,0,0,1,0,0,0,20,1,2,2,0,0,1,0,0,2,2,0,0,3,1,1,0,0,0,2,12,0,21,3,14,3,12,0,3,0,4,17,0,2,7,5,6,12,17,22,10,3,10,2,5,5,0,0,13,21,1,13,0,0,19,10,1,5,4,21,10,0,0,1,3,31,0,35,0,0,0,12,6,3,13,0,1,17,0,0,1,2,15,7,3,1,16,8,0,0,19,4,1,1,10,0,26,4,5,0,0,19,4,8,3,0,1,0,0,4,0,2,26,3,0,28,5,0,2,9,1,6,0,4,0,0,0,0,14,1,1,0,9,25,0,33,2,0,0,0,0,7,20,6,0,1,0,0,0,0,1,27,0,5,2,0,0,1,0,1,3,25,0,0,0,1,0,4,1,17,17,0,1,0,1,0,0,0,0,0,33,1,3,27,5,0,0,0,0,0,34,0,0,1,0,22,0,0,2,10,1,1,0,0,0,0,18,10,6,9,7,16,3,8,23,0,0,4,0,16,4,10,1,0,3,1,37.557434,-97.25167,"Derby","North Central"
